no;question1;question2;grade
0;If the question is IR-Based, I will do the following: I can assume the question as a query. Because of having a very large text, I would segment these texts to shorter passages like paragraphs. Then, I need to find the relevant texts in the corpus. To find relatedness, I would apply one of some methods such as TF-IDF Similarity, Jaccard Index, Word embeddings, etc, on query and passages. At last, I need to rank these relevant passages to find the most related. To do that, I can sort the passages according to: - The number of named entities of the right type in the passage. - The number of question words and keywords in the passage. - The keyword proximity between the question and each passage. - The number of question N-grams that also in the passage. - The number of sequences of question words' occurring in passages. etc. In that way, I can find the most relevant text.;Using semantic analysis methods. We can use vector space model.;25
1;"If the question is IR-Based, I will do the following: 
I can assume the question as a query. Because of having a very large text, I would segment these texts to shorter passages like paragraphs. Then, I need to find the relevant texts in the corpus. To find relatedness, I would apply one of some methods such as TF-IDF Similarity, Jaccard Index, Word embeddings, etc, on query and passages. At last, I need to rank these relevant passages to find the most related. To do that, I can sort the passages according to: 
- The number of named entities of the right type in the passage. 
- The number of question words and keywords in the passage. 
- The keyword proximity between the question and each passage. 
- The number of question N-grams that also in the passage. 
- The number of sequences of question words' occurring in passages. etc. In that way, I can find the most relevant text.";we should use vector space model. firstly, binary (we should mark to every word as a number ) then calculate the term frequenties (TF) then multiply with;25
2;"If the question is IR-Based, I will do the following: 
I can assume the question as a query. Because of having a very large text, I would segment these texts to shorter passages like paragraphs. Then, I need to find the relevant texts in the corpus. To find relatedness, I would apply one of some methods such as TF-IDF Similarity, Jaccard Index, Word embeddings, etc, on query and passages. At last, I need to rank these relevant passages to find the most related. To do that, I can sort the passages according to: 
- The number of named entities of the right type in the passage. 
- The number of question words and keywords in the passage. 
- The keyword proximity between the question and each passage. 
- The number of question N-grams that also in the passage. 
- The number of sequences of question words' occurring in passages. etc. In that way, I can find the most relevant text.";"Assume we have a question like "" Why the sky is blue?"" We can calculate this two words (sky and blue) numbers in our corpus. Then check them passing by together in any sentence. Compare those sentences similarity with our question. Sort the all answers by their importance and showing the user.";50
3;"If the question is IR-Based, I will do the following: 
I can assume the question as a query. Because of having a very large text, I would segment these texts to shorter passages like paragraphs. Then, I need to find the relevant texts in the corpus. To find relatedness, I would apply one of some methods such as TF-IDF Similarity, Jaccard Index, Word embeddings, etc, on query and passages. At last, I need to rank these relevant passages to find the most related. To do that, I can sort the passages according to: 
- The number of named entities of the right type in the passage. 
- The number of question words and keywords in the passage. 
- The keyword proximity between the question and each passage. 
- The number of question N-grams that also in the passage. 
- The number of sequences of question words' occurring in passages. etc. In that way, I can find the most relevant text.";We can use Vector Space Model that is representation of words as vectors. But this method can be slow because of large corpus. We can represent the words as a vector in space. After that, with Cosine similarity that is measuring similarity between non-zero vectors, we can find semantically most relavant. In Cosine similarity, If the angle between sentences is close to 0ø, similarity increases otherwise decreases.;25
4;"If the question is IR-Based, I will do the following: 
I can assume the question as a query. Because of having a very large text, I would segment these texts to shorter passages like paragraphs. Then, I need to find the relevant texts in the corpus. To find relatedness, I would apply one of some methods such as TF-IDF Similarity, Jaccard Index, Word embeddings, etc, on query and passages. At last, I need to rank these relevant passages to find the most related. To do that, I can sort the passages according to: 
- The number of named entities of the right type in the passage. 
- The number of question words and keywords in the passage. 
- The keyword proximity between the question and each passage. 
- The number of question N-grams that also in the passage. 
- The number of sequences of question words' occurring in passages. etc. In that way, I can find the most relevant text.";In this corpus we will use sentence segmenting to seperate all sentence. In the sentence lets say every word has their POS tagging it will help to find answer quickly. End of tagging we will Vector space modeling to reach most relevant text in corpus. We will check the highest COS value between [0,1]. So we will get nearest answer.;50
5;"If the question is IR-Based, I will do the following: 
I can assume the question as a query. Because of having a very large text, I would segment these texts to shorter passages like paragraphs. Then, I need to find the relevant texts in the corpus. To find relatedness, I would apply one of some methods such as TF-IDF Similarity, Jaccard Index, Word embeddings, etc, on query and passages. At last, I need to rank these relevant passages to find the most related. To do that, I can sort the passages according to: 
- The number of named entities of the right type in the passage. 
- The number of question words and keywords in the passage. 
- The keyword proximity between the question and each passage. 
- The number of question N-grams that also in the passage. 
- The number of sequences of question words' occurring in passages. etc. In that way, I can find the most relevant text.";For example , Where do you live ? First step-> Get rid of stop and func word Second step-> Using lemma instead of word Third step-> Convert string to number to be calculated by vectore space model Last step->Call the similarity function;25
6;"If the question is IR-Based, I will do the following: 
I can assume the question as a query. Because of having a very large text, I would segment these texts to shorter passages like paragraphs. Then, I need to find the relevant texts in the corpus. To find relatedness, I would apply one of some methods such as TF-IDF Similarity, Jaccard Index, Word embeddings, etc, on query and passages. At last, I need to rank these relevant passages to find the most related. To do that, I can sort the passages according to: 
- The number of named entities of the right type in the passage. 
- The number of question words and keywords in the passage. 
- The keyword proximity between the question and each passage. 
- The number of question N-grams that also in the passage. 
- The number of sequences of question words' occurring in passages. etc. In that way, I can find the most relevant text.";"I will choose keywords in question sentence. And using vector space to compare texts. If I try to make vector of texts ; it is not easy for a large corpus.";25
7;"If the question is IR-Based, I will do the following: 
I can assume the question as a query. Because of having a very large text, I would segment these texts to shorter passages like paragraphs. Then, I need to find the relevant texts in the corpus. To find relatedness, I would apply one of some methods such as TF-IDF Similarity, Jaccard Index, Word embeddings, etc, on query and passages. At last, I need to rank these relevant passages to find the most related. To do that, I can sort the passages according to: 
- The number of named entities of the right type in the passage. 
- The number of question words and keywords in the passage. 
- The keyword proximity between the question and each passage. 
- The number of question N-grams that also in the passage. 
- The number of sequences of question words' occurring in passages. etc. In that way, I can find the most relevant text.";I can find with corperoble (karŸlaŸtrlabilir) corpus. (ayn d”nemde ‡ekilmiŸ ayn trde farkl dilde dizi gibi);0
8;"If the question is IR-Based, I will do the following: 
I can assume the question as a query. Because of having a very large text, I would segment these texts to shorter passages like paragraphs. Then, I need to find the relevant texts in the corpus. To find relatedness, I would apply one of some methods such as TF-IDF Similarity, Jaccard Index, Word embeddings, etc, on query and passages. At last, I need to rank these relevant passages to find the most related. To do that, I can sort the passages according to: 
- The number of named entities of the right type in the passage. 
- The number of question words and keywords in the passage. 
- The keyword proximity between the question and each passage. 
- The number of question N-grams that also in the passage. 
- The number of sequences of question words' occurring in passages. etc. In that way, I can find the most relevant text.";We take the words as key in the short question sentence.Then, we don't search in corpus, because we want semantically, not lexically, so we look the meaning the words in dictionary.And we keep the one or two meaning these information.After that we decide concat the most key with them.In the corpus, partially, we search this meaning the most relevant text.Searching will be in corpus as words meaning.;25
9;"If the question is Knowledge-Based, I will do the following: 
I can assume the question as a query. Because of having a very large text: 
Firstly, I would segment these texts to shorter passages like paragraphs. 
Then, I would build semantic representations to the query such as locations, dates, times, entities, numeric forms/quantities. 
At last, In order to determine the semantic relation between the question and passages, I would map these semantic representations between query and passages, using WordNet like lexical databases. 
In that way, I can find the most relevant text.";Assume that our corpus is wordnet. We can be each word of questiona node.Then we calculate distance between of each word.;50
